profName,university,nbr citation,specialty
Marwane Rouway,"Hassan II University, Faculty of Sciences Aïn Chock, LREDS and LPMMAT and REMTEX …",Cited by 17
Belhoussine drissi taoufiq,Université Hassan 2 - faculté des sciences ain chock de Casablanca,Cited by 17
Bentaib Mohssine,Hassan II University of Casablanca,Cited by 16
Asmae CHAKIR,Hassan II University of Casablanca,Cited by 16
Youssef Oukessou,"… Professor of ENT, Head & Neck surgery, Ibn Rochd University Hospital, Hassan II University",Cited by 16
Manal Inchaouh,Faculty ain chock - Hassan II University,Cited by 15
Dr. Fouad DAMIRI,University Hassan II of Casablanca-Morocco,Cited by 15
Hind Lakhlifi,Université Hassan II Casablanca,Cited by 15
Achraf Harrati,Hassan II University of Casablanca,Cited by 15
Saad ZAAMOUN,Université Hassan II - Casablanca,Cited by 14
Sara Mifrah,Université Hassan II -Casblanca,Cited by 14
LAILA MOUSSAID,"Associate Professor at department computer engineering ,university Hassan II casablanca …",Cited by 14
RACHIDA AIT ABDELOUAHID,University Hassan II,Cited by 14
Othmane BOURHABA,"Université Hassan II, Casablanca",Cited by 13
EL ABDELLAOUI Mohamed,"University Hassan II, Faculty of Law, Economic and Social Sciences Laboratory for …",Cited by 13
Kebira Azbeg,"LR2I laboratory, FSAC, HASSAN II UNIVERSITY, CASABLANCA, MOROCCO",Cited by 13
ghizlane moukhliss,Hassan II University,Cited by 13
SOUFIANE EL MOUMNI,"Doctorant, Univérsité Hassan II de Casablanca-Maroc",Cited by 12
Abderrahman Lamaoui,"PhD student, Hassan II University of Casablanca",Cited by 12
ANAS EL ATTAR,"… , Faculty of Science and Technology, University Hassan II of Casablanca, Morocco",Cited by 12
Zakaria El Maskaoui,Hassan II University of Casablanca,Cited by 12
daanoune ikram,Hassan II University of Casablanca,Cited by 12
Morad Hajji,"PhD University Hassan II of Casablanca, ENSET Mohammédia",Cited by 11
Ahmed Al Sabri,"LIMAT, Faculty of Sciences Ben M'sik, Hassan II University Casablanca, Morocco",Cited by 11
SAKIM Anas,"Hassan II University of Casablanca, Casablanca, Morocco",Cited by 11
Badr CHEGARI,Hassan II University of Casablanca,Cited by 11
Akram Elomari,"RITM-ESTC / CED-ENSEM, University Hassan II Km 7, Eljadida Street, BP 8012 Oasis …",Cited by 11
Nazha HILALI,"PhD Student, Université Hassan II Casablanca",Cited by 11
TAGHZAOUI chaimaa,Hassan II University Of Casablanca,Cited by 10
Saad Boulahnane,"Ph.D, Hassan II University",Cited by 10
saad abouzahir,"… , National Superior school of Electricity and Mechanics (ENSEM), University of Hassan II",Cited by 10
Israa Issa Hassan,"Department of Basic Sciences,University of Duhok,Kurdistan region,Iraq.",Cited by 10
Marieme CHOUKI,Hassan II University,Cited by 10
Sana Lamtara,assistant Professor at Hassan II University,Cited by 10
Sadik El kasmi alaoui,TIM Lab FS Ben M'sik Université Hassan II,Cited by 10
Mohammed AIT HIMI,"Hassan II University Casablanca, Morocco",Cited by 10
"Amine Ouaket, PhD",Hassan II University of Casablanca,Cited by 10
Hicham SI MHAMDI,Hassan II University of Casablanca,Cited by 9
Fadwa el otmani,"TI Lab, Department of Physics, FSBM, Hassan II University of Casablanca, Morocco",Cited by 9
Abderrahmane Ouadrhiri (Abderrahmane Adoui El Ouadrhiri),"LR2I, FSAC, HASSAN II UNIVERSITY OF CASABLANCA, MOROCCO",Cited by 9
Hamzane Ibrahim,Hassan II University  Mohammedia,Cited by 9
El Mehdi Saoudi,"LR2I, FSAC, HASSAN II UNIVERSITY OF CASABLANCA, MOROCCO",Cited by 9
Brahim Chergui,"… de maths, Faculté des Sciences Aïn Chock Université Hassan II de Casablanca Maroc",Cited by 9
EL KHANTACH,"Faculty of science and technology Mohammedia, Hassan II University Mohammedia …",Cited by 9
Hind CHAIBATE,Hassan II University of Casablanca,Cited by 9
Abderrafiaa El KALAY,"Professeur d'informatique, Université Hassan II Casablanca",Cited by 9
Said Byadi,Hassan II university,Cited by 9
Eloudrhiri Hassani Abdelhadi,"Ph. D., Hassan II University of Casablanca",Cited by 9
